sent0,sent1,hard_neg,source,sent0-verbobj,sent1-verbobj,hard_neg-verbobj
The modern 120-passenger cars make the journey in around eight minutes.,These 120 passenger cars can go the distance in around eight minutes.  ,These 120 passenger cars will make the trip in about 2 hours.  ,nli,,,
if you could come up with a device that's the thing,You could make a device for that thing.,You should not mess with that device.,nli,,,
A man wearing a white work coat is arranging soft pretzels.,The man is wearing a white coat,The man is arranging flowers,nli,,,
"Less than a week into our marriage, we were touring Lake Como on a ferry when we cruised past a wedding party.",They were touring Lake Como on a ferry,They were not touring Lake Como on a ferry,nli,,,
Four officers in yellow jackets are mounted on horses in the street.,The four officers rode horses.,Six officers rode motorcycles.,nli,,,
A golden retriever is excitedly greeting a woman as a little dog walks towards the camera.,Two dogs are near a woman.,Both of the dogs are corgis.,nli,,,
This one is housed in a stone building with interior arches and flagstone floors.,This restaurant is in a stone building.,The restaurant is wood hut.,nli,,,
Trying to hold on is as much of a good idea as it is a bad one!,Holding on might not be the best idea.,A good night's sleep is important.,nli,,,
"The island is famed for its nuts, honey, and fruits, which traditionally have been preserved to last through the Aegean winters.","Nuts, honey and fruit are the infamous produce of the island.","Nuts, fruit and honey must be eaten first before they are spoiled by the Aegean winters.",nli,,,
"  NSAs, or negotiated service agreements, have been a hot topic in the legislative equation.",NSAs are a hot topic in legislation.,NSAs are a settled topic in legislation.,nli,,,
nothing pretty about it,It isn't good looking.,It is beautiful.,nli,,,
"The rooms are particularly comfortable, staff are friendly, and there is a choice of indoor or outdoor swimming pools.",The rooms are comfortable.,The rooms are very uncomfortable.,nli,,,
A man shaking the hand of a teenager sitting on a bench.,The two people are touching.,A teenager is yelling at a man on a carousel.,nli,,,
you know from anyone else's point of view but they'd get all blown up in the news,The news blows the view out of proportion. ,The news never mentioned the story.,nli,,,
Two men dressed in white shirts and aprons prepare pizzas.,The men are touching dough.,The men don't ever get dirty at work.,nli,,,
"A man with a long beard, white shirt, and a scarf on his head holds a plastic cup.",He is holding a cup.,He is longing for a juicy batch.,nli,,,
"A crowd of people, some with flags and others in uniforms, lines up in a road by a bridge.","A crowd of people by a bridge,",A person sitting on a chair.,nli,,,
"Casa de la Trova (Calle Heredia), Casa de las Tradiciones (Calle General Lacret).",Casa de la Trova is in Calle Heredia.,Casa de la Trova is not in Calle Heredia.,nli,,,
"Although Bush's campaign manager, Lee Atwater, always insisted publicly that for the Bush campaign Horton was never a racial symbol, Atwater slipped in a speech he gave to southern Republicans right before that year's Democratic ",Lee Atwater was Bush's campaign manager.  ,Lee Atwater was never employed by any President Bush.  ,nli,,,
"Very gently, I unhooked one of the pictures from its nail Marguerite with her casket of jewels.",I took one of the pictures down.,I wiped down the photos carefully on the wall.,nli,,,
"Let the taxi driver worry about that, while you admire the magnificent scenery changing from lowland mangrove, bamboo, and palms, to denser rainforest of lush greenery and, as the heat drops away to the more comfortable mountain air, montane oaks and laurels familiar to temperate climates.",You should allow the driver to be concerned about that.,The taxi driver should not be worrying about anything.,nli,,,
The woman D picks up a bowl of vegetables with her right hand.,The woman D picks up the bowl,The woman D puts down a bowl of vegetables with her right hand.,ego4d,pick/bowl,pick/bowl,
The mechanic puts his right hand with the box spanner behind the tyre.,The mechanic puts the hand on the ground.,The mechanic takes his right hand with the box spanner from behind the tyre.,ego4d,put/hand,put/hand,
The customer picks the glass cup from the table with his right hand.,The customer picks the cup of smoothies from the table with his right hand.,The customer puts the glass cup on the table with his right hand.,ego4d,pick/cup,pick/cup,
The cook picks a potato from the plate on the tray on the gas cooker with the fork in her right hand.,The cook man T picks potato crepes,The cook places a potato on the plate on the tray on the gas cooker with the fork in her right hand.,ego4d,pick/potato,pick/potato,
The woman passes the cup of ice cream from her left hand to her right hand.,The man passes the cup of white powder from his right hand to his left hand.,The woman passes the cup of ice cream from her right hand to her left hand.,ego4d,pass/cup,pass/cup,pass/cup
The carpenter removes her left hand from the cloth on the table.,The carpenter removes his right hand from the plank of wood,The carpenter places her left hand on the cloth on the table.,ego4d,remove/hand,remove/hand,place/hand
#C C removes her left hand from the phone.,#C C removes his gloved right hand from his lab coat pocket.,#C C places her left hand on the phone.,ego4d,remove/hand,remove/hand,place/hand
The carpenter pushes the drawer away from him,The carpenter pushes the drawer,The carpenter pulls the drawer toward him,ego4d,push/drawer,push/drawer,
The mechanic closes the tool box,The mechanic closes the box,The mechanic opens the tool box,ego4d,close/box,close/box,
The person puts the bottle on the stand,The person puts bottle in the mouth,The person takes the bottle off the stand,ego4d,put/bottle,put/bottle,
The plumber opens a cabinet under a wash hand basin.,The plumber opens a cabinet,The plumber closes a cabinet under a wash hand basin.,ego4d,open/cabinet,open/cabinet,
The shopper picks the plastic bag,The shopper picks up the paper bag,The shopper puts the plastic bag down,ego4d,pick/bag,pick/bag,put/bag
The gardener picks the bottle from the table with her left hand.,The gardener picks up a spray bottle from a box on the ground with her right hand.,The gardener puts the bottle on the table with her left hand.,ego4d,pick/bottle,pick/bottle,
The observer woman A lifts the cloth up,The cleaner lifts the cloth,The observer woman A lowers the cloth down,ego4d,lift/cloth,lift/cloth,
The waiter puts his hand on the table,The waiter puts down his hand,The waiter takes his hand off the table,ego4d,put/hand,put/hand,
The student puts a book on the floor,The student puts the book on the shelf.,The student takes a book off the floor,ego4d,put/book,put/book,
The baker puts the wood spoon down.,The baker puts down the spoon,The baker picks up the wood spoon.,ego4d,put/spoon,put/spoon,
The server puts the chopsticks inside the sachet,The server puts the chopsticks in the paper with meat,The server takes the chopsticks out of the sachet,ego4d,put/chopsticks,put/chopsticks,
The woman takes food from the food pack on the picnic cloth with the fork in her left hand.,The woman takes out a packaged food from the refrigerator with her right hand.,The woman puts food into the food pack on the picnic cloth with the fork in her left hand.,ego4d,take/food,take/food,
The **person** withdraws left hand from the mobile phone,The **person** stretches left hand,The **person** inserts left hand into the mobile phone,ego4d,leave/hand,leave/hand,
The bartender picks a lid,The bartender picks the lid of the glass,The bartender puts a lid down,ego4d,pick/lid,pick/lid,put/lid
The customer opens the box,The customer opens a wallet box,The customer closes the box,ego4d,open/box,open/box,close/box
The doorman opens door,The doorman opens the door.,The doorman closes door,ego4d,open/door,open/door,close/door
The man passes the phone from his left hand to his right hand.,The woman D passes the phone from her right hand to her left hand.,The man passes the phone from his right hand to his left hand.,ego4d,pass/phone,pass/phone,pass/phone
The child puts the bottle on the floor,The older sibling puts the bottle on the table,The child takes the bottle off the floor,ego4d,put/bottle,put/bottle,
The student picks a book from the table with his left hand.,The student picks the book with the right hand,The student places a book on the table with his left hand.,ego4d,pick/book,pick/book,
The patron picks a metallic cup on the table,The patron picks a cup from the countertop,The patron puts a metallic cup on the table,ego4d,pick/cup,pick/cup,
The woman opens door with left hand.,The woman opens the door to get out.,The woman closes door with left hand.,ego4d,open/door,open/door,close/door
The baker opens the oven,The baker opens an oven in the kitchen with his left hand.,The baker closes the oven,ego4d,open/oven,open/oven,close/oven
The climber puts left hand on the tree branch,The climber moves left hand on the guitar,The climber takes left hand off the tree branch,ego4d,leave/hand,leave/hand,
The person opens the sink tap,The person opens the water tap,The person closes the sink tap,ego4d,open/tap,open/tap,close/tap
The bartender puts the bottle down,The bartender puts bottle on sink top,The bartender picks up the bottle,ego4d,put/bottle,put/bottle,pick/bottle
The technician connects a cable to the laptop,The technician connects a cable,The technician disconnects a cable from the laptop,ego4d,connect/cable,connect/cable,
The customer places the mobile phone on the countertop,The customer places a phone on a table by his side with his right hand,The customer picks up the mobile phone from the countertop,ego4d,place/phone,place/phone,
The **waiter** picks up the cup with left hand,The **waiter** picks a cup of drink from the table with his right hand.,The **waiter** puts down the cup with left hand,ego4d,pick/cup,pick/cup,
The grocer picks the egg tray on the shelf,The grocer picks a tray with egg trays,The grocer puts the egg tray on the shelf,ego4d,pick/tray,pick/tray,put/tray
The housekeeper places the cloth on the surface,The housekeeper places the cloth on a washing machine,The housekeeper removes the cloth from the surface,ego4d,place/cloth,place/cloth,
The mechanic opens the tool box,The man opens the box,The mechanic closes the tool box,ego4d,open/box,open/box,close/box
The barista drops pot of beverage,The barista drops the pot,The barista picks up pot of beverage,ego4d,drop/pot,drop/pot,
The technician lifts the plate of the motherboard with his both hands.,The technician lifts up the plate of food with his right hand,The technician lowers the plate of the motherboard with his both hands.,ego4d,lift/plate,lift/plate,
The baker removes her left hand from the cardboard tube on her lap.,The baker removes hand from dough,The baker puts her left hand into the cardboard tube on her lap.,ego4d,remove/hand,remove/hand,
The zookeeper places his right hand on the metal cage.,The zookeeper places right hand on bed pole,The zookeeper removes his right hand from the metal cage.,ego4d,place/hand,place/hand,
The artist drops a deep green paint bottle with his left hand.,The artist drops the bottle of ingredient,The artist picks up a deep green paint bottle with his left hand.,ego4d,drop/bottle,drop/bottle,
The cleaner places the tray in a shelf with both hands.,The cleaner places a tray into the oven.,The cleaner removes the tray from a shelf with both hands.,ego4d,place/tray,place/tray,
The janitor picks a broom with his right hand.,The janitor picks the broom with his right hand,The janitor puts down the broom with his right hand.,ego4d,pick/broom,pick/broom,
The mechanic drops the screw on the workbench.,The mechanic drops a screw on the lawn mower.,The mechanic picks up the screw from the workbench.,ego4d,drop/screw,drop/screw,
The waiter picks a glass of juice on the table,The customer picks a glass of water from the waiter,The waiter puts a glass of juice on the table,ego4d,pick/glass,pick/glass,put/glass
The student removes her left hand from the book on the table.,The woman removes her hand from the wool.,The student places her left hand on the book on the table.,ego4d,remove/hand,remove/hand,place/hand
The man puts his right hand in his pocket.,The man puts his right hand on the ground.,The man takes his right hand out of his pocket.,ego4d,put/hand,put/hand,
The cleaner puts down the sponge,The cleaner puts the sponge in water,The cleaner picks up the sponge,ego4d,put/sponge,put/sponge,pick/sponge
