a_pred,a_true,question,demonstration_type,variation,motion_type,answer,note,key,options,video_source_url,question_formatted,answer_formatted,video_name
E,D,What is the shape of the object that the person drew in the air?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,3,Eason drawing diamond with bare hand,0213-05,"['Square/rectangle.' 'Trapezoid.' 'Not drawing at all.' 'Diamond.'
 'Triangle.' 'Circle.']",,"What is the shape of the object that the person drew in the air?
Options: 
A: Square/rectangle.
B: Trapezoid.
C: Not drawing at all.
D: Diamond.
E: Triangle.
F: Circle. 
Pick the best suited option.",D,videos/human/0213-05.mp4
D,F,What geometric shape did the person trace in the air with their hand?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,5,Eason drawing eight-shape with bare hand,0214-04,"['Diamond.' 'Circle.' 'Trapezoid.' 'Triangle.' 'Not drawing at all.'
 'Eight-shape.']",,"What geometric shape did the person trace in the air with their hand?
Options: 
A: Diamond.
B: Circle.
C: Trapezoid.
D: Triangle.
E: Not drawing at all.
F: Eight-shape. 
Pick the best suited option.",F,videos/human/0214-04.mp4
E,C,What geometric shape did the person trace in the air with their hand?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,2,Eason drawing eight-shape with bare hand,0214-05,"['Diamond.' 'Not drawing at all.' 'Eight-shape.' 'Trapezoid.' 'Circle.'
 'Triangle.']",,"What geometric shape did the person trace in the air with their hand?
Options: 
A: Diamond.
B: Not drawing at all.
C: Eight-shape.
D: Trapezoid.
E: Circle.
F: Triangle. 
Pick the best suited option.",C,videos/human/0214-05.mp4
B,C,What is the trend of the person's hand movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,2,Eason moving hand up with bare hand,0405-02,['Not moving at all.' 'Moving Down.' 'Moving Up.'],,"What is the trend of the person's hand movement?
Options: 
A: Not moving at all.
B: Moving Down.
C: Moving Up. 
Pick the best suited option.",C,videos/human/0405-02.mp4
B,A,What is the trend of the person's hand movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,0,Eason moving hand left with bare hand,0406-02,['Moving Left.' 'Moving Right.' 'Not moving at all.'],,"What is the trend of the person's hand movement?
Options: 
A: Moving Left.
B: Moving Right.
C: Not moving at all. 
Pick the best suited option.",A,videos/human/0406-02.mp4
C,B,What is the trend of the person's hand movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,1,Eason moving hand right with bare hand,0406-03,['Not moving at all.' 'Moving Right.' 'Moving Left.'],,"What is the trend of the person's hand movement?
Options: 
A: Not moving at all.
B: Moving Right.
C: Moving Left. 
Pick the best suited option.",B,videos/human/0406-03.mp4
C,C,What is the trend of the person's hand movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,2,Eason moving hand down with bare hand,0405-03,['Moving Up.' 'Not moving at all.' 'Moving Down.'],,"What is the trend of the person's hand movement?
Options: 
A: Moving Up.
B: Not moving at all.
C: Moving Down. 
Pick the best suited option.",C,videos/human/0405-03.mp4
C,A,What is the trend of the person's hand movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,0,Eason moving hand down and left with bare hand,0251-05,"['Moving Down and Left' 'Moving Up and Left.' 'Moving Up and Right.'
 'Not moving at all.' 'Moving Down and Right.']",,"What is the trend of the person's hand movement?
Options: 
A: Moving Down and Left
B: Moving Up and Left.
C: Moving Up and Right.
D: Not moving at all.
E: Moving Down and Right. 
Pick the best suited option.",A,videos/human/0251-05.mp4
D,E,What is the trend of the person's hand movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,4,Eason moving hand up and right with bare hand,0410-01,"['Moving Up and Left.' 'Moving Down and Right.' 'Not moving at all.'
 'Moving Down and Left' 'Moving Up and Right.']",,"What is the trend of the person's hand movement?
Options: 
A: Moving Up and Left.
B: Moving Down and Right.
C: Not moving at all.
D: Moving Down and Left
E: Moving Up and Right. 
Pick the best suited option.",E,videos/human/0410-01.mp4
B,B,What is the trend of the person's hand movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,1,Eason moving hand up with bare hand,0411-01,['Not moving at all.' 'Moving Up.' 'Moving Down.'],,"What is the trend of the person's hand movement?
Options: 
A: Not moving at all.
B: Moving Up.
C: Moving Down. 
Pick the best suited option.",B,videos/human/0411-01.mp4
B,A,What is the trend of the person's hand movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,0,Eason moving hand down with bare hand,0412-01,['Moving Down.' 'Moving Up.' 'Not moving at all.'],,"What is the trend of the person's hand movement?
Options: 
A: Moving Down.
B: Moving Up.
C: Not moving at all. 
Pick the best suited option.",A,videos/human/0412-01.mp4
E,E,What geometric shape did the person trace in the air with their hand?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,4,Eason drawing circle with bare hand,0230-10,"['Diamond.' 'Square/rectangle.' 'Trapezoid.' 'Not drawing at all.'
 'Circle.' 'Triangle.']",,"What geometric shape did the person trace in the air with their hand?
Options: 
A: Diamond.
B: Square/rectangle.
C: Trapezoid.
D: Not drawing at all.
E: Circle.
F: Triangle. 
Pick the best suited option.",E,videos/human/0230-10.mp4
C,C,What geometric shape did the person trace in the air with their hand?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,2,Eason drawing circle with bare hand,0230-11,"['Diamond.' 'Triangle.' 'Circle.' 'Trapezoid.' 'Square/rectangle.'
 'Not drawing at all.']",,"What geometric shape did the person trace in the air with their hand?
Options: 
A: Diamond.
B: Triangle.
C: Circle.
D: Trapezoid.
E: Square/rectangle.
F: Not drawing at all. 
Pick the best suited option.",C,videos/human/0230-11.mp4
D,C,What is the trend of the person's hand movement?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,2,Eason moving hand with markerpen,0403-00,"['Not moving at all.' 'Moving Right.' 'Moving Left then Right.'
 'Moving Left.' 'Moving Right then Left']",,"What is the trend of the person's hand movement?
Options: 
A: Not moving at all.
B: Moving Right.
C: Moving Left then Right.
D: Moving Left.
E: Moving Right then Left 
Pick the best suited option.",C,videos/human/0403-00.mp4
A,B,What was the overall direction of the hand's movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,1,Eason moving hand with markerpen,0403-01,"['Moving Right.' 'Moving Left.' 'Not moving at all.'
 'Moving Right then Left' 'Moving Left then Right.']",,"What was the overall direction of the hand's movement?
Options: 
A: Moving Right.
B: Moving Left.
C: Not moving at all.
D: Moving Right then Left
E: Moving Left then Right. 
Pick the best suited option.",B,videos/human/0403-01.mp4
D,C,What was the overall direction of the hand's movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,2,Eason moving hand with markerpen,0403-02,"['Moving Right then Left' 'Moving Left then Right.' 'Moving Right.'
 'Moving Left.' 'Not moving at all.']",,"What was the overall direction of the hand's movement?
Options: 
A: Moving Right then Left
B: Moving Left then Right.
C: Moving Right.
D: Moving Left.
E: Not moving at all. 
Pick the best suited option.",C,videos/human/0403-02.mp4
D,C,What was the overall direction of the hand's movement?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,2,Eason moving hand with markerpen,0408-00,"['Not moving at all.' 'Moving Down then Up' 'Moving Up then Down.'
 'Moving Down.' 'Moving Up.']",,"What was the overall direction of the hand's movement?
Options: 
A: Not moving at all.
B: Moving Down then Up
C: Moving Up then Down.
D: Moving Down.
E: Moving Up. 
Pick the best suited option.",C,videos/human/0408-00.mp4
E,E,What was the overall direction of the hand's movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,4,Eason moving hand with markerpen,0408-01,"['Moving Down.' 'Not moving at all.' 'Moving Up then Down.'
 'Moving Down then Up' 'Moving Up.']",,"What was the overall direction of the hand's movement?
Options: 
A: Moving Down.
B: Not moving at all.
C: Moving Up then Down.
D: Moving Down then Up
E: Moving Up. 
Pick the best suited option.",E,videos/human/0408-01.mp4
A,E,What was the overall direction of the hand's movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,4,Eason moving hand with markerpen,0408-02,"['Moving Up.' 'Moving Down then Up' 'Not moving at all.'
 'Moving Up then Down.' 'Moving Down.']",,"What was the overall direction of the hand's movement?
Options: 
A: Moving Up.
B: Moving Down then Up
C: Not moving at all.
D: Moving Up then Down.
E: Moving Down. 
Pick the best suited option.",E,videos/human/0408-02.mp4
E,E,What was the overall direction of the hand's movement?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,4,Eason moving hand with markerpen,0403-03,"['Moving Right then Left' 'Moving Left.' 'Moving Right.'
 'Not moving at all.' 'Moving Left then Right.']",,"What was the overall direction of the hand's movement?
Options: 
A: Moving Right then Left
B: Moving Left.
C: Moving Right.
D: Not moving at all.
E: Moving Left then Right. 
Pick the best suited option.",E,videos/human/0403-03.mp4
E,B,What was the overall direction of the hand's movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,1,Eason moving hand with markerpen,0403-04,"['Moving Right.' 'Moving Left.' 'Not moving at all.'
 'Moving Left then Right.' 'Moving Right then Left']",,"What was the overall direction of the hand's movement?
Options: 
A: Moving Right.
B: Moving Left.
C: Not moving at all.
D: Moving Left then Right.
E: Moving Right then Left 
Pick the best suited option.",B,videos/human/0403-04.mp4
D,D,What was the overall direction of the hand's movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,3,Eason moving hand with markerpen,0403-05,"['Moving Left.' 'Moving Left then Right.' 'Moving Right then Left'
 'Moving Right.' 'Not moving at all.']",,"What was the overall direction of the hand's movement?
Options: 
A: Moving Left.
B: Moving Left then Right.
C: Moving Right then Left
D: Moving Right.
E: Not moving at all. 
Pick the best suited option.",D,videos/human/0403-05.mp4
C,B,What was the overall direction of the hand's movement?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,1,Eason moving hand with markerpen,0408-03,"['Moving Down.' 'Moving Up then Down.' 'Moving Down then Up'
 'Not moving at all.' 'Moving Up.']",,"What was the overall direction of the hand's movement?
Options: 
A: Moving Down.
B: Moving Up then Down.
C: Moving Down then Up
D: Not moving at all.
E: Moving Up. 
Pick the best suited option.",B,videos/human/0408-03.mp4
D,A,What was the overall direction of the hand's movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,0,Eason moving hand with markerpen,0408-04,"['Moving Up.' 'Moving Up then Down.' 'Moving Down.' 'Not moving at all.'
 'Moving Down then Up']",,"What was the overall direction of the hand's movement?
Options: 
A: Moving Up.
B: Moving Up then Down.
C: Moving Down.
D: Not moving at all.
E: Moving Down then Up 
Pick the best suited option.",A,videos/human/0408-04.mp4
E,D,What was the general trend of the hand's movement in space?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,3,Eason moving hand with markerpen,0408-05,"['Moving Up then Down.' 'Not moving at all.' 'Moving Down then Up'
 'Moving Down.' 'Moving Up.']",,"What was the general trend of the hand's movement in space?
Options: 
A: Moving Up then Down.
B: Not moving at all.
C: Moving Down then Up
D: Moving Down.
E: Moving Up. 
Pick the best suited option.",D,videos/human/0408-05.mp4
A,D,What was the general trend of the hand's movement in space?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,3,Eason moving hand with markerpen,0413-00,"['Not moving at all.' 'Moving Up then Down.' 'Moving Down.' 'Moving Up.'
 'Moving Down then Up']",,"What was the general trend of the hand's movement in space?
Options: 
A: Not moving at all.
B: Moving Up then Down.
C: Moving Down.
D: Moving Up.
E: Moving Down then Up 
Pick the best suited option.",D,videos/human/0413-00.mp4
D,E,What was the general trend of the hand's movement in space?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,4,Eason moving hand with markerpen,0413-01,"['Not moving at all.' 'Moving Up then Down.' 'Moving Down then Up'
 'Moving Up.' 'Moving Down.']",,"What was the general trend of the hand's movement in space?
Options: 
A: Not moving at all.
B: Moving Up then Down.
C: Moving Down then Up
D: Moving Up.
E: Moving Down. 
Pick the best suited option.",E,videos/human/0413-01.mp4
A,C,What was the general trend of the hand's movement in space?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,2,Eason moving hand with markerpen,0413-02,"['Not moving at all.' 'Moving Down.' 'Moving Up.' 'Moving Up then Down.'
 'Moving Down then Up']",,"What was the general trend of the hand's movement in space?
Options: 
A: Not moving at all.
B: Moving Down.
C: Moving Up.
D: Moving Up then Down.
E: Moving Down then Up 
Pick the best suited option.",C,videos/human/0413-02.mp4
A,D,What was the general trend of the hand's movement in space?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,3,Eason moving hand with markerpen,0413-03,"['Moving Up.' 'Moving Up then Down.' 'Moving Down then Up' 'Moving Down.'
 'Not moving at all.']",,"What was the general trend of the hand's movement in space?
Options: 
A: Moving Up.
B: Moving Up then Down.
C: Moving Down then Up
D: Moving Down.
E: Not moving at all. 
Pick the best suited option.",D,videos/human/0413-03.mp4
E,C,What was the general trend of the hand's movement in space?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,2,Eason moving hand with markerpen,0413-04,"['Moving Up then Down.' 'Not moving at all.' 'Moving Down then Up'
 'Moving Down.' 'Moving Up.']",,"What was the general trend of the hand's movement in space?
Options: 
A: Moving Up then Down.
B: Not moving at all.
C: Moving Down then Up
D: Moving Down.
E: Moving Up. 
Pick the best suited option.",C,videos/human/0413-04.mp4
C,A,What was the general trend of the hand's movement in space?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,0,Eason moving hand with markerpen,0413-05,"['Moving Down then Up' 'Moving Up then Down.' 'Moving Up.'
 'Not moving at all.' 'Moving Down.']",,"What was the general trend of the hand's movement in space?
Options: 
A: Moving Down then Up
B: Moving Up then Down.
C: Moving Up.
D: Not moving at all.
E: Moving Down. 
Pick the best suited option.",A,videos/human/0413-05.mp4
E,E,What was the general trend of the hand's movement in space?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,4,Eason moving hand with markerpen,0518-00,"['Moving Left.' 'Not moving at all.' 'Moving Right.'
 'Moving Left then Right.' 'Moving Right then Left']",,"What was the general trend of the hand's movement in space?
Options: 
A: Moving Left.
B: Not moving at all.
C: Moving Right.
D: Moving Left then Right.
E: Moving Right then Left 
Pick the best suited option.",E,videos/human/0518-00.mp4
C,C,What was the general trend of the hand's movement in space?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,2,Eason moving hand with markerpen,0518-01,"['Moving Right then Left' 'Not moving at all.' 'Moving Left.'
 'Moving Right.' 'Moving Left then Right.']",,"What was the general trend of the hand's movement in space?
Options: 
A: Moving Right then Left
B: Not moving at all.
C: Moving Left.
D: Moving Right.
E: Moving Left then Right. 
Pick the best suited option.",C,videos/human/0518-01.mp4
D,E,What was the general trend of the hand's movement in space?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,4,Eason moving hand with markerpen,0518-02,"['Moving Right then Left' 'Not moving at all.' 'Moving Left then Right.'
 'Moving Left.' 'Moving Right.']",,"What was the general trend of the hand's movement in space?
Options: 
A: Moving Right then Left
B: Not moving at all.
C: Moving Left then Right.
D: Moving Left.
E: Moving Right. 
Pick the best suited option.",E,videos/human/0518-02.mp4
E,D,What trend did the person's hand movement follow?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,3,Eason moving hand with markerpen,0518-03,"['Not moving at all.' 'Moving Left then Right.' 'Moving Right.'
 'Moving Right then Left' 'Moving Left.']",,"What trend did the person's hand movement follow?
Options: 
A: Not moving at all.
B: Moving Left then Right.
C: Moving Right.
D: Moving Right then Left
E: Moving Left. 
Pick the best suited option.",D,videos/human/0518-03.mp4
C,D,What trend did the person's hand movement follow?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,3,Eason moving hand with markerpen,0518-04,"['Moving Right then Left' 'Moving Right.' 'Moving Left then Right.'
 'Moving Left.' 'Not moving at all.']",,"What trend did the person's hand movement follow?
Options: 
A: Moving Right then Left
B: Moving Right.
C: Moving Left then Right.
D: Moving Left.
E: Not moving at all. 
Pick the best suited option.",D,videos/human/0518-04.mp4
C,E,What trend did the person's hand movement follow?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,4,Eason moving hand with markerpen,0518-05,"['Moving Left.' 'Moving Right then Left' 'Moving Left then Right.'
 'Not moving at all.' 'Moving Right.']",,"What trend did the person's hand movement follow?
Options: 
A: Moving Left.
B: Moving Right then Left
C: Moving Left then Right.
D: Not moving at all.
E: Moving Right. 
Pick the best suited option.",E,videos/human/0518-05.mp4
B,E,What trend did the person's hand movement follow?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,4,Chuhan moving bare hand,0595-00,"['Moving Up then Down.' 'Moving Up.' 'Moving Down.' 'Not moving at all.'
 'Moving Down then Up']",,"What trend did the person's hand movement follow?
Options: 
A: Moving Up then Down.
B: Moving Up.
C: Moving Down.
D: Not moving at all.
E: Moving Down then Up 
Pick the best suited option.",E,videos/human/0595-00.mp4
D,C,What trend did the person's hand movement follow?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,2,Chuhan moving bare hand,0595-01,"['Moving Up then Down.' 'Moving Down.' 'Moving Down then Up' 'Moving Up.'
 'Not moving at all.']",,"What trend did the person's hand movement follow?
Options: 
A: Moving Up then Down.
B: Moving Down.
C: Moving Down then Up
D: Moving Up.
E: Not moving at all. 
Pick the best suited option.",C,videos/human/0595-01.mp4
C,B,What trend did the person's hand movement follow?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,1,Chuhan moving bare hand,0596-00,"['Moving Down then Up' 'Moving Up then Down.' 'Moving Up.' 'Moving Down.'
 'Not moving at all.']",,"What trend did the person's hand movement follow?
Options: 
A: Moving Down then Up
B: Moving Up then Down.
C: Moving Up.
D: Moving Down.
E: Not moving at all. 
Pick the best suited option.",B,videos/human/0596-00.mp4
D,C,What trend did the person's hand movement follow?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,2,Chuhan moving bare hand,0596-01,"['Moving Down then Up' 'Not moving at all.' 'Moving Up then Down.'
 'Moving Up.' 'Moving Down.']",,"What trend did the person's hand movement follow?
Options: 
A: Moving Down then Up
B: Not moving at all.
C: Moving Up then Down.
D: Moving Up.
E: Moving Down. 
Pick the best suited option.",C,videos/human/0596-01.mp4
D,E,What trend did the person's hand movement follow?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,4,Chuhan moving bare hand,0597-00,"['Moving Up then Down.' 'Moving Down then Up' 'Not moving at all.'
 'Moving Down.' 'Moving Up.']",,"What trend did the person's hand movement follow?
Options: 
A: Moving Up then Down.
B: Moving Down then Up
C: Not moving at all.
D: Moving Down.
E: Moving Up. 
Pick the best suited option.",E,videos/human/0597-00.mp4
D,D,What trend did the person's hand movement follow?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,3,Chuhan moving bare hand,0597-01,"['Moving Down.' 'Not moving at all.' 'Moving Down then Up' 'Moving Up.'
 'Moving Up then Down.']",,"What trend did the person's hand movement follow?
Options: 
A: Moving Down.
B: Not moving at all.
C: Moving Down then Up
D: Moving Up.
E: Moving Up then Down. 
Pick the best suited option.",D,videos/human/0597-01.mp4
C,D,What trend did the person's hand movement follow?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,3,Chuhan moving bare hand,0598-00,"['Moving Left then Right.' 'Not moving at all.' 'Moving Left.'
 'Moving Right.' 'Moving Right then Left']",,"What trend did the person's hand movement follow?
Options: 
A: Moving Left then Right.
B: Not moving at all.
C: Moving Left.
D: Moving Right.
E: Moving Right then Left 
Pick the best suited option.",D,videos/human/0598-00.mp4
D,D,What was the overall trend in the person's hand movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,3,Chuhan moving bare hand,0598-01,"['Moving Left.' 'Moving Left then Right.' 'Moving Right then Left'
 'Moving Right.' 'Not moving at all.']",,"What was the overall trend in the person's hand movement?
Options: 
A: Moving Left.
B: Moving Left then Right.
C: Moving Right then Left
D: Moving Right.
E: Not moving at all. 
Pick the best suited option.",D,videos/human/0598-01.mp4
C,F,What geometric shape did the person trace in the air with their hand?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,5,Chuhan drawing shapes,0617-00,"['Diamond.' 'Trapezoid.' 'Triangle.' 'Square/rectangle.'
 'Not drawing at all.' 'Circle.']",,"What geometric shape did the person trace in the air with their hand?
Options: 
A: Diamond.
B: Trapezoid.
C: Triangle.
D: Square/rectangle.
E: Not drawing at all.
F: Circle. 
Pick the best suited option.",F,videos/human/0617-00.mp4
E,E,What geometric shape did the person trace in the air with their hand?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",shape&trend,4,Chuhan drawing shapes,0617-01,"['Triangle.' 'Diamond.' 'Square/rectangle.' 'Not drawing at all.'
 'Circle.' 'Trapezoid.']",,"What geometric shape did the person trace in the air with their hand?
Options: 
A: Triangle.
B: Diamond.
C: Square/rectangle.
D: Not drawing at all.
E: Circle.
F: Trapezoid. 
Pick the best suited option.",E,videos/human/0617-01.mp4
