a_pred,a_true,idx,qa_idx,video_name,question,ans
B,B,0010,00586_0,videos/UCF101_timeconcat/v_StillRings_g01_c05.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0011,01049_3,videos/UCF101_timeconcat/v_Billiards_g03_c03_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0012,01094_3,videos/UCF101_timeconcat/v_CricketShot_g01_c07_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
B,B,0013,01241_0,videos/UCF101_timeconcat/v_Kayaking_g03_c03.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
B,A,0014,00823_2,videos/UCF101_timeconcat/v_SkateBoarding_g01_c04_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
A,B,0015,00773_3,videos/UCF101_timeconcat/v_Biking_g05_c03_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0016,01191_3,videos/UCF101_timeconcat/v_GolfSwing_g03_c01_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0017,01055_3,videos/UCF101_timeconcat/v_MilitaryParade_g01_c07_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
B,A,0018,00402_2,videos/UCF101_timeconcat/v_MilitaryParade_g06_c04_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
B,B,0019,00838_0,videos/UCF101_timeconcat/v_FrontCrawl_g02_c03.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
A,A,0020,00440_1,videos/UCF101_timeconcat/v_WritingOnBoard_g06_c06.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
B,B,0021,01398_0,videos/UCF101_timeconcat/v_Skijet_g07_c02.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
A,A,0022,01136_1,videos/UCF101_timeconcat/v_HorseRace_g07_c04.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
B,A,0023,01269_2,videos/UCF101_timeconcat/v_Rafting_g01_c03_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
B,B,0024,00223_0,videos/UCF101_timeconcat/v_Billiards_g01_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0025,00232_3,videos/UCF101_timeconcat/v_Biking_g02_c01_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0026,00418_3,videos/UCF101_timeconcat/v_TennisSwing_g06_c05_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
B,B,0027,00934_0,videos/UCF101_timeconcat/v_HighJump_g04_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0028,00058_3,videos/UCF101_timeconcat/v_HammerThrow_g02_c06_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0029,00307_3,videos/UCF101_timeconcat/v_TennisSwing_g05_c04_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,A,0030,00995_1,videos/UCF101_timeconcat/v_CuttingInKitchen_g01_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
A,A,0031,00503_1,videos/UCF101_timeconcat/v_RopeClimbing_g04_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
B,B,0032,01219_0,videos/UCF101_timeconcat/v_HighJump_g06_c04.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
B,B,0033,00240_0,videos/UCF101_timeconcat/v_FrisbeeCatch_g05_c04.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0034,00132_3,videos/UCF101_timeconcat/v_CricketShot_g05_c04_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
B,B,0035,00388_0,videos/UCF101_timeconcat/v_FieldHockeyPenalty_g01_c03.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0036,00099_3,videos/UCF101_timeconcat/v_BalanceBeam_g02_c03_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,A,0037,00375_1,videos/UCF101_timeconcat/v_BandMarching_g07_c07.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
B,A,0038,01053_2,videos/UCF101_timeconcat/v_CuttingInKitchen_g04_c03_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
A,A,0039,01189_1,videos/UCF101_timeconcat/v_CuttingInKitchen_g06_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
B,A,0040,00329_2,videos/UCF101_timeconcat/v_SoccerPenalty_g05_c05_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
A,B,0041,01364_3,videos/UCF101_timeconcat/v_CuttingInKitchen_g06_c02_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,A,0042,01271_1,videos/UCF101_timeconcat/v_FloorGymnastics_g07_c06.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
A,B,0043,00566_3,videos/UCF101_timeconcat/v_Kayaking_g04_c06_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,A,0044,00556_1,videos/UCF101_timeconcat/v_LongJump_g03_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
A,B,0045,00078_3,videos/UCF101_timeconcat/v_HorseRace_g03_c02_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,A,0046,01221_1,videos/UCF101_timeconcat/v_SoccerPenalty_g01_c02.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
A,B,0047,00341_3,videos/UCF101_timeconcat/v_RopeClimbing_g06_c01_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
B,A,0048,00010_2,videos/UCF101_timeconcat/v_WalkingWithDog_g02_c05_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
B,B,0049,01188_0,videos/UCF101_timeconcat/v_FrontCrawl_g02_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
A,A,0050,01091_1,videos/UCF101_timeconcat/v_SkateBoarding_g04_c05.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
A,A,0051,01279_1,videos/UCF101_timeconcat/v_SoccerPenalty_g07_c02.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
A,B,0052,01183_3,videos/UCF101_timeconcat/v_TennisSwing_g05_c01_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0053,01122_3,videos/UCF101_timeconcat/v_PoleVault_g02_c07_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
B,B,0054,01180_0,videos/UCF101_timeconcat/v_UnevenBars_g06_c04.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
B,A,0055,01221_2,videos/UCF101_timeconcat/v_SoccerPenalty_g01_c02_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
B,A,0056,00317_2,videos/UCF101_timeconcat/v_BlowingCandles_g06_c07_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
A,A,0057,00222_1,videos/UCF101_timeconcat/v_Surfing_g04_c02.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
B,B,0058,00443_0,videos/UCF101_timeconcat/v_Bowling_g01_c02.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
B,B,0059,00420_0,videos/UCF101_timeconcat/v_Rafting_g04_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
B,B,0060,00900_0,videos/UCF101_timeconcat/v_JavelinThrow_g01_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
B,B,0061,00285_0,videos/UCF101_timeconcat/v_Skiing_g03_c04.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
A,B,0062,01209_3,videos/UCF101_timeconcat/v_SkateBoarding_g03_c04_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,A,0063,00336_1,videos/UCF101_timeconcat/v_PoleVault_g05_c05.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
B,A,0064,00417_2,videos/UCF101_timeconcat/v_PoleVault_g04_c04_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
A,B,0065,01282_3,videos/UCF101_timeconcat/v_BabyCrawling_g07_c03_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
B,A,0066,01171_2,videos/UCF101_timeconcat/v_WritingOnBoard_g07_c05_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
B,B,0067,01300_0,videos/UCF101_timeconcat/v_WalkingWithDog_g06_c03.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
B,A,0068,00113_2,videos/UCF101_timeconcat/v_HorseRace_g02_c02_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
B,B,0069,00740_0,videos/UCF101_timeconcat/v_CliffDiving_g07_c04.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
B,A,0070,00641_2,videos/UCF101_timeconcat/v_BasketballDunk_g06_c04_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
A,B,0071,00094_3,videos/UCF101_timeconcat/v_Kayaking_g02_c02_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
B,A,0072,00294_2,videos/UCF101_timeconcat/v_BalanceBeam_g06_c01_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
A,A,0073,00398_1,videos/UCF101_timeconcat/v_WritingOnBoard_g02_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
A,B,0074,00202_3,videos/UCF101_timeconcat/v_WalkingWithDog_g01_c02_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",B
A,A,0075,00509_1,videos/UCF101_timeconcat/v_VolleyballSpiking_g02_c04.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
A,A,0076,00948_1,videos/UCF101_timeconcat/v_JavelinThrow_g02_c02.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
B,A,0077,00420_2,videos/UCF101_timeconcat/v_Rafting_g04_c01_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
B,A,0078,00804_2,videos/UCF101_timeconcat/v_MilitaryParade_g02_c03_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
B,B,0079,00901_0,videos/UCF101_timeconcat/v_TennisSwing_g02_c07.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
B,B,0080,00069_0,videos/UCF101_timeconcat/v_LongJump_g02_c03.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
B,A,0081,00856_2,videos/UCF101_timeconcat/v_WalkingWithDog_g01_c04_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
A,A,0082,00573_1,videos/UCF101_timeconcat/v_Shotput_g05_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
B,B,0083,00140_0,videos/UCF101_timeconcat/v_BandMarching_g07_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
B,A,0084,00021_2,videos/UCF101_timeconcat/v_ParallelBars_g05_c02_revorder.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",A
A,A,0085,00201_1,videos/UCF101_timeconcat/v_FloorGymnastics_g07_c04.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
B,B,0086,00471_0,videos/UCF101_timeconcat/v_JavelinThrow_g07_c05.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The first segment (before the black frame)
B. The second segment (after the black frame)
Answer with the option's letter from the given choices directly.",B
A,A,0087,00313_1,videos/UCF101_timeconcat/v_CliffDiving_g06_c06.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
A,A,0088,00782_1,videos/UCF101_timeconcat/v_FloorGymnastics_g06_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
A,A,0089,00328_1,videos/UCF101_timeconcat/v_ParallelBars_g07_c01.mp4,"This video contains two segments showing the same action, separated by a 2-second black frame. One segment is played forwards, and the other is played in reverse.
Which video segment is played in reverse?
A. The second segment (after the black frame)
B. The first segment (before the black frame)
Answer with the option's letter from the given choices directly.",A
