a_pred,a_true,dataset,task,idx,vid
B,A,TVBench/Action Antonym,video/QA,93,action_antonym/S029C003P049R002A088_rgb.avi
B,A,TVBench/Action Antonym,video/QA,94,action_antonym/S026C003P070R002A088_rgb.avi
A,A,TVBench/Action Antonym,video/QA,95,action_antonym/S023C003P058R001A088_rgb.avi
A,A,TVBench/Action Antonym,video/QA,96,action_antonym/S026C003P050R001A088_rgb.avi
B,B,TVBench/Action Antonym,video/QA,97,action_antonym/S030C003P085R001A088_rgb.avi
A,A,TVBench/Action Antonym,video/QA,98,action_antonym/S026C001P049R002A088_rgb.avi
A,A,TVBench/Action Antonym,video/QA,99,action_antonym/S026C002P049R002A088_rgb.avi
A,B,TVBench/Action Antonym,video/QA,100,action_antonym/S009C001P007R001A009_rgb.avi
A,B,TVBench/Action Antonym,video/QA,101,action_antonym/S009C002P007R001A009_rgb.avi
A,B,TVBench/Action Antonym,video/QA,102,action_antonym/S009C003P007R001A009_rgb.avi
B,A,TVBench/Action Antonym,video/QA,103,action_antonym/S001C001P003R001A009_rgb.avi
B,A,TVBench/Action Antonym,video/QA,104,action_antonym/S001C002P003R001A009_rgb.avi
B,A,TVBench/Action Antonym,video/QA,105,action_antonym/S001C003P003R001A009_rgb.avi
A,B,TVBench/Action Antonym,video/QA,106,action_antonym/S001C001P003R002A009_rgb.avi
A,B,TVBench/Action Antonym,video/QA,107,action_antonym/S001C002P003R002A009_rgb.avi
A,B,TVBench/Action Antonym,video/QA,108,action_antonym/S001C003P003R002A009_rgb.avi
B,A,TVBench/Action Antonym,video/QA,109,action_antonym/S011C003P025R002A009_rgb.avi
B,A,TVBench/Action Antonym,video/QA,110,action_antonym/S012C001P025R002A009_rgb.avi
B,A,TVBench/Action Antonym,video/QA,111,action_antonym/S012C002P025R002A009_rgb.avi
A,B,TVBench/Action Antonym,video/QA,112,action_antonym/S006C001P016R001A009_rgb.avi
B,A,TVBench/Action Antonym,video/QA,113,action_antonym/S006C002P016R001A009_rgb.avi
B,A,TVBench/Action Antonym,video/QA,114,action_antonym/S006C003P016R001A009_rgb.avi
A,B,TVBench/Action Antonym,video/QA,115,action_antonym/S011C001P025R002A009_rgb.avi
A,B,TVBench/Action Antonym,video/QA,116,action_antonym/S011C002P025R002A009_rgb.avi
B,A,TVBench/Action Antonym,video/QA,117,action_antonym/S012C003P025R002A009_rgb.avi
A,B,TVBench/Action Antonym,video/QA,118,action_antonym/S014C001P007R002A009_rgb.avi
A,B,TVBench/Action Antonym,video/QA,119,action_antonym/S014C002P007R002A009_rgb.avi
B,A,TVBench/Action Antonym,video/QA,120,action_antonym/S009C003P007R001A019_rgb.avi
B,B,TVBench/Action Antonym,video/QA,121,action_antonym/S009C003P007R002A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,122,action_antonym/S009C001P007R001A019_rgb.avi
B,B,TVBench/Action Antonym,video/QA,123,action_antonym/S009C001P007R002A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,124,action_antonym/S009C002P007R002A019_rgb.avi
A,B,TVBench/Action Antonym,video/QA,125,action_antonym/S009C002P007R001A019_rgb.avi
B,B,TVBench/Action Antonym,video/QA,126,action_antonym/S007C001P026R001A019_rgb.avi
B,B,TVBench/Action Antonym,video/QA,127,action_antonym/S007C003P026R001A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,128,action_antonym/S007C002P026R001A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,129,action_antonym/S007C001P026R002A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,130,action_antonym/S007C003P026R002A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,131,action_antonym/S007C002P026R002A019_rgb.avi
B,B,TVBench/Action Antonym,video/QA,132,action_antonym/S010C003P007R002A019_rgb.avi
B,B,TVBench/Action Antonym,video/QA,133,action_antonym/S010C001P007R002A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,134,action_antonym/S010C002P007R002A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,135,action_antonym/S012C002P025R001A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,136,action_antonym/S012C001P025R001A019_rgb.avi
B,B,TVBench/Action Antonym,video/QA,137,action_antonym/S012C003P025R001A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,138,action_antonym/S007C001P007R002A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,139,action_antonym/S007C002P007R002A019_rgb.avi
B,A,TVBench/Action Antonym,video/QA,140,action_antonym/S009C002P007R001A021_rgb.avi
B,A,TVBench/Action Antonym,video/QA,141,action_antonym/S009C003P007R001A021_rgb.avi
B,A,TVBench/Action Antonym,video/QA,142,action_antonym/S009C001P007R001A021_rgb.avi
A,B,TVBench/Action Antonym,video/QA,143,action_antonym/S007C002P026R001A021_rgb.avi
B,A,TVBench/Action Antonym,video/QA,144,action_antonym/S007C003P026R001A021_rgb.avi
B,A,TVBench/Action Antonym,video/QA,145,action_antonym/S007C001P026R001A021_rgb.avi
A,B,TVBench/Action Antonym,video/QA,146,action_antonym/S005C001P021R001A021_rgb.avi
B,A,TVBench/Action Antonym,video/QA,147,action_antonym/S005C002P021R001A021_rgb.avi
A,B,TVBench/Action Antonym,video/QA,148,action_antonym/S005C003P021R001A021_rgb.avi
A,B,TVBench/Action Antonym,video/QA,149,action_antonym/S011C002P027R002A021_rgb.avi
B,A,TVBench/Action Antonym,video/QA,150,action_antonym/S011C003P027R002A021_rgb.avi
A,B,TVBench/Action Antonym,video/QA,151,action_antonym/S008C001P032R001A021_rgb.avi
A,B,TVBench/Action Antonym,video/QA,152,action_antonym/S008C003P032R001A021_rgb.avi
A,B,TVBench/Action Antonym,video/QA,153,action_antonym/S011C001P027R002A021_rgb.avi
A,B,TVBench/Action Antonym,video/QA,154,action_antonym/S008C002P032R001A021_rgb.avi
A,B,TVBench/Action Antonym,video/QA,155,action_antonym/S010C001P021R001A021_rgb.avi
B,A,TVBench/Action Antonym,video/QA,156,action_antonym/S010C002P021R001A021_rgb.avi
B,B,TVBench/Action Antonym,video/QA,157,action_antonym/S010C003P021R001A021_rgb.avi
B,A,TVBench/Action Antonym,video/QA,158,action_antonym/S006C001P022R001A021_rgb.avi
A,B,TVBench/Action Antonym,video/QA,159,action_antonym/S010C001P025R002A021_rgb.avi
A,B,TVBench/Action Antonym,video/QA,160,action_antonym/S018C002P008R001A061_rgb.avi
A,B,TVBench/Action Antonym,video/QA,161,action_antonym/S018C001P008R001A061_rgb.avi
B,B,TVBench/Action Antonym,video/QA,162,action_antonym/S029C003P049R002A061_rgb.avi
B,B,TVBench/Action Antonym,video/QA,163,action_antonym/S018C003P008R001A061_rgb.avi
B,B,TVBench/Action Antonym,video/QA,164,action_antonym/S032C003P102R002A061_rgb.avi
A,B,TVBench/Action Antonym,video/QA,165,action_antonym/S030C003P043R002A061_rgb.avi
B,B,TVBench/Action Antonym,video/QA,166,action_antonym/S026C003P050R002A061_rgb.avi
B,B,TVBench/Action Antonym,video/QA,167,action_antonym/S026C003P049R002A061_rgb.avi
B,B,TVBench/Action Antonym,video/QA,168,action_antonym/S030C003P043R001A061_rgb.avi
B,A,TVBench/Action Antonym,video/QA,169,action_antonym/S026C003P069R001A061_rgb.avi
B,B,TVBench/Action Antonym,video/QA,170,action_antonym/S026C003P075R002A061_rgb.avi
B,B,TVBench/Action Antonym,video/QA,171,action_antonym/S027C003P080R002A061_rgb.avi
B,B,TVBench/Action Antonym,video/QA,172,action_antonym/S029C003P075R002A061_rgb.avi
B,B,TVBench/Action Antonym,video/QA,173,action_antonym/S019C002P050R002A061_rgb.avi
B,A,TVBench/Action Antonym,video/QA,174,action_antonym/S022C003P065R001A061_rgb.avi
B,A,TVBench/Action Antonym,video/QA,175,action_antonym/S019C001P050R002A061_rgb.avi
B,B,TVBench/Action Antonym,video/QA,176,action_antonym/S028C003P048R001A061_rgb.avi
A,B,TVBench/Action Antonym,video/QA,177,action_antonym/S032C003P103R002A061_rgb.avi
B,A,TVBench/Action Antonym,video/QA,178,action_antonym/S019C003P050R002A061_rgb.avi
B,A,TVBench/Action Antonym,video/QA,179,action_antonym/S021C003P055R001A061_rgb.avi
B,A,TVBench/Action Antonym,video/QA,180,action_antonym/S013C001P019R001A016_rgb.avi
A,B,TVBench/Action Antonym,video/QA,181,action_antonym/S013C001P019R002A016_rgb.avi
B,A,TVBench/Action Antonym,video/QA,182,action_antonym/S013C002P019R001A016_rgb.avi
A,B,TVBench/Action Antonym,video/QA,183,action_antonym/S013C002P019R002A016_rgb.avi
A,B,TVBench/Action Antonym,video/QA,184,action_antonym/S013C003P019R001A016_rgb.avi
B,A,TVBench/Action Antonym,video/QA,185,action_antonym/S013C003P019R002A016_rgb.avi
A,B,TVBench/Action Antonym,video/QA,186,action_antonym/S014C001P025R001A016_rgb.avi
B,A,TVBench/Action Antonym,video/QA,187,action_antonym/S014C001P025R002A016_rgb.avi
B,A,TVBench/Action Antonym,video/QA,188,action_antonym/S014C002P025R001A016_rgb.avi
A,B,TVBench/Action Antonym,video/QA,189,action_antonym/S014C002P025R002A016_rgb.avi
A,B,TVBench/Action Antonym,video/QA,190,action_antonym/S014C003P025R001A016_rgb.avi
B,A,TVBench/Action Antonym,video/QA,191,action_antonym/S014C003P025R002A016_rgb.avi
B,A,TVBench/Action Antonym,video/QA,192,action_antonym/S008C001P033R001A016_rgb.avi
B,B,TVBench/Action Antonym,video/QA,193,action_antonym/S008C001P033R002A016_rgb.avi
A,B,TVBench/Action Antonym,video/QA,194,action_antonym/S008C002P033R001A016_rgb.avi
B,B,TVBench/Action Antonym,video/QA,195,action_antonym/S008C002P033R002A016_rgb.avi
B,B,TVBench/Action Antonym,video/QA,196,action_antonym/S008C003P033R001A016_rgb.avi
A,B,TVBench/Action Antonym,video/QA,197,action_antonym/S008C003P033R002A016_rgb.avi
A,B,TVBench/Action Antonym,video/QA,198,action_antonym/S008C001P029R002A016_rgb.avi
B,B,TVBench/Action Antonym,video/QA,199,action_antonym/S008C002P029R002A016_rgb.avi
A,B,TVBench/Action Antonym,video/QA,200,action_antonym/S010C001P013R002A014_rgb.avi
B,A,TVBench/Action Antonym,video/QA,201,action_antonym/S010C002P013R002A014_rgb.avi
A,B,TVBench/Action Antonym,video/QA,202,action_antonym/S010C003P013R002A014_rgb.avi
A,B,TVBench/Action Antonym,video/QA,203,action_antonym/S016C001P025R002A014_rgb.avi
B,A,TVBench/Action Antonym,video/QA,204,action_antonym/S016C002P025R002A014_rgb.avi
A,B,TVBench/Action Antonym,video/QA,205,action_antonym/S016C003P025R002A014_rgb.avi
B,A,TVBench/Action Antonym,video/QA,206,action_antonym/S006C001P023R001A014_rgb.avi
B,A,TVBench/Action Antonym,video/QA,207,action_antonym/S006C002P023R001A014_rgb.avi
A,B,TVBench/Action Antonym,video/QA,208,action_antonym/S006C003P023R001A014_rgb.avi
A,B,TVBench/Action Antonym,video/QA,209,action_antonym/S008C001P034R002A014_rgb.avi
A,B,TVBench/Action Antonym,video/QA,210,action_antonym/S008C002P034R002A014_rgb.avi
B,A,TVBench/Action Antonym,video/QA,211,action_antonym/S008C003P034R002A014_rgb.avi
B,B,TVBench/Action Antonym,video/QA,212,action_antonym/S008C002P032R002A014_rgb.avi
A,B,TVBench/Action Antonym,video/QA,213,action_antonym/S008C003P032R002A014_rgb.avi
B,A,TVBench/Action Antonym,video/QA,214,action_antonym/S008C001P032R002A014_rgb.avi
B,A,TVBench/Action Antonym,video/QA,215,action_antonym/S011C003P018R001A014_rgb.avi
B,A,TVBench/Action Antonym,video/QA,216,action_antonym/S011C002P018R001A014_rgb.avi
A,B,TVBench/Action Antonym,video/QA,217,action_antonym/S011C001P018R001A014_rgb.avi
B,A,TVBench/Action Antonym,video/QA,218,action_antonym/S008C003P032R001A014_rgb.avi
B,A,TVBench/Action Antonym,video/QA,219,action_antonym/S008C001P032R001A014_rgb.avi
B,B,TVBench/Action Antonym,video/QA,220,action_antonym/S032C003P103R001A087_rgb.avi
B,A,TVBench/Action Antonym,video/QA,221,action_antonym/S027C003P081R001A087_rgb.avi
B,B,TVBench/Action Antonym,video/QA,222,action_antonym/S026C003P074R001A087_rgb.avi
A,B,TVBench/Action Antonym,video/QA,223,action_antonym/S032C002P103R001A087_rgb.avi
B,B,TVBench/Action Antonym,video/QA,224,action_antonym/S026C003P072R001A087_rgb.avi
A,B,TVBench/Action Antonym,video/QA,225,action_antonym/S032C001P103R001A087_rgb.avi
A,A,TVBench/Action Antonym,video/QA,226,action_antonym/S026C003P075R001A087_rgb.avi
A,A,TVBench/Action Antonym,video/QA,227,action_antonym/S020C003P053R001A087_rgb.avi
A,B,TVBench/Action Antonym,video/QA,228,action_antonym/S026C003P049R002A087_rgb.avi
B,A,TVBench/Action Antonym,video/QA,229,action_antonym/S020C003P052R002A087_rgb.avi
A,A,TVBench/Action Antonym,video/QA,230,action_antonym/S026C003P049R001A087_rgb.avi
A,B,TVBench/Action Antonym,video/QA,231,action_antonym/S020C003P052R001A087_rgb.avi
B,A,TVBench/Action Antonym,video/QA,232,action_antonym/S027C003P081R002A087_rgb.avi
B,B,TVBench/Action Antonym,video/QA,233,action_antonym/S030C003P095R001A087_rgb.avi
A,A,TVBench/Action Antonym,video/QA,234,action_antonym/S026C003P041R001A087_rgb.avi
A,B,TVBench/Action Antonym,video/QA,235,action_antonym/S027C003P085R001A087_rgb.avi
B,B,TVBench/Action Antonym,video/QA,236,action_antonym/S030C003P075R001A087_rgb.avi
B,B,TVBench/Action Antonym,video/QA,237,action_antonym/S021C003P057R001A087_rgb.avi
B,A,TVBench/Action Antonym,video/QA,238,action_antonym/S028C003P073R001A087_rgb.avi
B,A,TVBench/Action Antonym,video/QA,239,action_antonym/S028C003P073R002A087_rgb.avi
B,A,TVBench/Action Antonym,video/QA,240,action_antonym/S013C001P025R002A017_rgb.avi
A,B,TVBench/Action Antonym,video/QA,241,action_antonym/S013C002P025R002A017_rgb.avi
A,B,TVBench/Action Antonym,video/QA,242,action_antonym/S013C003P025R002A017_rgb.avi
B,B,TVBench/Action Antonym,video/QA,243,action_antonym/S013C002P019R001A017_rgb.avi
B,B,TVBench/Action Antonym,video/QA,244,action_antonym/S013C001P019R001A017_rgb.avi
B,B,TVBench/Action Antonym,video/QA,245,action_antonym/S013C003P019R001A017_rgb.avi
A,B,TVBench/Action Antonym,video/QA,246,action_antonym/S008C001P029R001A017_rgb.avi
B,A,TVBench/Action Antonym,video/QA,247,action_antonym/S008C003P029R001A017_rgb.avi
A,B,TVBench/Action Antonym,video/QA,248,action_antonym/S008C002P029R001A017_rgb.avi
B,A,TVBench/Action Antonym,video/QA,249,action_antonym/S016C001P025R002A017_rgb.avi
A,B,TVBench/Action Antonym,video/QA,250,action_antonym/S016C003P025R002A017_rgb.avi
B,A,TVBench/Action Antonym,video/QA,251,action_antonym/S016C002P025R002A017_rgb.avi
B,A,TVBench/Action Antonym,video/QA,252,action_antonym/S008C001P032R002A017_rgb.avi
A,B,TVBench/Action Antonym,video/QA,253,action_antonym/S008C002P032R002A017_rgb.avi
B,A,TVBench/Action Antonym,video/QA,254,action_antonym/S008C003P032R002A017_rgb.avi
B,A,TVBench/Action Antonym,video/QA,255,action_antonym/S001C001P002R001A017_rgb.avi
A,A,TVBench/Action Antonym,video/QA,256,action_antonym/S001C003P002R001A017_rgb.avi
A,B,TVBench/Action Antonym,video/QA,257,action_antonym/S001C002P002R001A017_rgb.avi
B,A,TVBench/Action Antonym,video/QA,258,action_antonym/S013C001P019R002A017_rgb.avi
A,B,TVBench/Action Antonym,video/QA,259,action_antonym/S013C002P019R002A017_rgb.avi
B,B,TVBench/Action Antonym,video/QA,260,action_antonym/S032C003P104R001A090_rgb.avi
A,A,TVBench/Action Antonym,video/QA,261,action_antonym/S020C003P044R002A090_rgb.avi
A,B,TVBench/Action Antonym,video/QA,262,action_antonym/S031C003P067R001A090_rgb.avi
B,B,TVBench/Action Antonym,video/QA,263,action_antonym/S020C003P043R002A090_rgb.avi
A,B,TVBench/Action Antonym,video/QA,264,action_antonym/S019C002P048R001A090_rgb.avi
A,B,TVBench/Action Antonym,video/QA,265,action_antonym/S019C001P048R001A090_rgb.avi
B,A,TVBench/Action Antonym,video/QA,266,action_antonym/S020C003P052R001A090_rgb.avi
A,A,TVBench/Action Antonym,video/QA,267,action_antonym/S019C003P048R001A090_rgb.avi
A,B,TVBench/Action Antonym,video/QA,268,action_antonym/S030C003P076R001A090_rgb.avi
A,B,TVBench/Action Antonym,video/QA,269,action_antonym/S027C003P044R002A090_rgb.avi
A,A,TVBench/Action Antonym,video/QA,270,action_antonym/S032C003P103R002A090_rgb.avi
A,B,TVBench/Action Antonym,video/QA,271,action_antonym/S027C003P081R001A090_rgb.avi
A,A,TVBench/Action Antonym,video/QA,272,action_antonym/S023C003P057R001A090_rgb.avi
B,B,TVBench/Action Antonym,video/QA,273,action_antonym/S026C003P075R001A090_rgb.avi
A,A,TVBench/Action Antonym,video/QA,274,action_antonym/S026C003P076R001A090_rgb.avi
A,A,TVBench/Action Antonym,video/QA,275,action_antonym/S032C003P043R001A090_rgb.avi
A,A,TVBench/Action Antonym,video/QA,276,action_antonym/S032C003P106R001A090_rgb.avi
B,B,TVBench/Action Antonym,video/QA,277,action_antonym/S021C003P055R002A090_rgb.avi
A,B,TVBench/Action Antonym,video/QA,278,action_antonym/S020C003P054R002A090_rgb.avi
A,B,TVBench/Action Antonym,video/QA,279,action_antonym/S025C003P055R001A090_rgb.avi
A,A,TVBench/Action Antonym,video/QA,280,action_antonym/S023C003P057R002A089_rgb.avi
A,B,TVBench/Action Antonym,video/QA,281,action_antonym/S031C003P100R001A089_rgb.avi
A,A,TVBench/Action Antonym,video/QA,282,action_antonym/S032C003P105R001A089_rgb.avi
A,B,TVBench/Action Antonym,video/QA,283,action_antonym/S032C003P104R001A089_rgb.avi
A,A,TVBench/Action Antonym,video/QA,284,action_antonym/S023C001P057R002A089_rgb.avi
A,B,TVBench/Action Antonym,video/QA,285,action_antonym/S023C002P057R002A089_rgb.avi
B,A,TVBench/Action Antonym,video/QA,286,action_antonym/S032C003P103R002A089_rgb.avi
A,A,TVBench/Action Antonym,video/QA,287,action_antonym/S032C003P043R001A089_rgb.avi
B,B,TVBench/Action Antonym,video/QA,288,action_antonym/S030C003P076R001A089_rgb.avi
A,B,TVBench/Action Antonym,video/QA,289,action_antonym/S029C003P043R001A089_rgb.avi
A,B,TVBench/Action Antonym,video/QA,290,action_antonym/S031C003P067R001A089_rgb.avi
A,A,TVBench/Action Antonym,video/QA,291,action_antonym/S026C003P075R001A089_rgb.avi
A,A,TVBench/Action Antonym,video/QA,292,action_antonym/S030C003P093R001A089_rgb.avi
B,B,TVBench/Action Antonym,video/QA,293,action_antonym/S028C003P048R002A089_rgb.avi
A,B,TVBench/Action Antonym,video/QA,294,action_antonym/S032C002P105R001A089_rgb.avi
A,B,TVBench/Action Antonym,video/QA,295,action_antonym/S019C002P049R001A089_rgb.avi
