a_pred,a_true,idx,qa_idx,video_name,question_type,question,answer_list,ans,kl,dataset,category,GT,answer_type,permutated_q,bound
D,C,0013,nextqa_02821,videos/nextqa/3167311763.mp4,nextqa,"what does the lady in hoodie do after throwing a bowling ball in the middle
A. run back
B. hug woman s leg
C. dance
D. walk to white basket
E. walk to woman
Answer with the option's letter from the given choices directly.","['run back', 'hug woman s leg', 'dance', 'walk to white basket', 'walk to woman']",C,3.2127028960242345,,,,,,
E,D,0014,nextqa_03025,videos/nextqa/6706220611.mp4,nextqa,"how did the baby get the support for laying at the end
A. man adjust baby
B. by high chair
C. carried by the lady
D. by the hands
E. hold on to dog
Answer with the option's letter from the given choices directly.","['man adjust baby', 'by high chair', 'carried by the lady', 'by the hands', 'hold on to dog']",D,3.2042799108616595,,,,,,
D,E,0015,nextqa_00786,videos/nextqa/6468507251.mp4,nextqa,"what appeared at the back after the boy kissed the lady
A. a man
B. dog
C. bird
D. a child
E. cat
Answer with the option's letter from the given choices directly.","['a man', 'dog', 'bird', 'a child', 'cat']",E,3.1583649447298727,,,,,,
C,A,0016,nextqa_03216,videos/nextqa/4553916256.mp4,nextqa,"what did the baby do after lying down on the bed
A. stretch out his arms
B. suck on pacifier
C. sit up on bed
D. jumps around
E. clap his hands
Answer with the option's letter from the given choices directly.","['stretch out his arms', 'suck on pacifier', 'sit up on bed', 'jumps around', 'clap his hands']",A,3.057223645880929,,,,,,
D,E,0017,nextqa_06813,videos/nextqa/6801869574.mp4,nextqa,"why does the man keep turning around while pulling the sled
A. trying to look at slides
B. crossing muddy fields
C. check on dog
D. see whether boy follows
E. check on baby
Answer with the option's letter from the given choices directly.","['trying to look at slides', 'crossing muddy fields', 'check on dog', 'see whether boy follows', 'check on baby']",E,3.0025675656460824,,,,,,
D,D,0018,nextqa_03486,videos/nextqa/10488004303.mp4,nextqa,"what does the boy do after dropping the grey mat at the start
A. looked at the lady
B. hit the ball
C. take kite from man
D. continue waving blue shirt vigorously
E. touch the camera
Answer with the option's letter from the given choices directly.","['looked at the lady', 'hit the ball', 'take kite from man', 'continue waving blue shirt vigorously', 'touch the camera']",D,2.988311036304361,,,,,,
A,A,0019,nextqa_02668,videos/nextqa/5873037185.mp4,nextqa,"why does the dog walk toward the lady after the lady reaches her hand toward it
A. let lady hug it
B. to catch the ball
C. guiding the girl
D. to catch the food
E. want to play somewhere else
Answer with the option's letter from the given choices directly.","['let lady hug it', 'to catch the ball', 'guiding the girl', 'to catch the food', 'want to play somewhere else']",A,2.953473399414385,,,,,,
C,B,0020,nextqa_07215,videos/nextqa/2881352518.mp4,nextqa,"what does the lady do after coming into the bedroom
A. goes into tent
B. take off pants
C. grab the camera
D. shakes her waist
E. play with dogs
Answer with the option's letter from the given choices directly.","['goes into tent', 'take off pants', 'grab the camera', 'shakes her waist', 'play with dogs']",B,2.9290637122343783,,,,,,
A,C,0021,nextqa_03730,videos/nextqa/4751951497.mp4,nextqa,"what does the boy do after waving at the girl at the end
A. hold his hand
B. lie down
C. goes away
D. move his feet
E. swim
Answer with the option's letter from the given choices directly.","['hold his hand', 'lie down', 'goes away', 'move his feet', 'swim']",C,2.9268966275841013,,,,,,
C,B,0022,nextqa_07013,videos/nextqa/4758751564.mp4,nextqa,"what happened near the end of the video
A. boat remained stationary
B. red boat overtook green boat
C. waves covered the boats
D. boat drove away from each other
E. boat collided
Answer with the option's letter from the given choices directly.","['boat remained stationary', 'red boat overtook green boat', 'waves covered the boats', 'boat drove away from each other', 'boat collided']",B,2.904154088776833,,,,,,
E,D,0023,nextqa_05617,videos/nextqa/4771022581.mp4,nextqa,"what did the girl in purple do when she first approached the baby
A. dance
B. hug baby
C. finished her makeup
D. touch head
E. put toy down
Answer with the option's letter from the given choices directly.","['dance', 'hug baby', 'finished her makeup', 'touch head', 'put toy down']",D,2.8903855710462665,,,,,,
C,B,0024,nextqa_02325,videos/nextqa/4553916256.mp4,nextqa,"what does the baby do after waving the ball in the air
A. stretches his arms
B. bite the ball
C. give ball to the lady
D. hit with racket
E. waddles up and down
Answer with the option's letter from the given choices directly.","['stretches his arms', 'bite the ball', 'give ball to the lady', 'hit with racket', 'waddles up and down']",B,2.86895243567185,,,,,,
D,C,0025,nextqa_05029,videos/nextqa/4094248027.mp4,nextqa,"where did the girl in polka dots put her toy phone at the end of the video
A. sofa
B. chair
C. table
D. floor
E. the scooter
Answer with the option's letter from the given choices directly.","['sofa', 'chair', 'table', 'floor', 'the scooter']",C,2.7816191259029432,,,,,,
E,D,0026,nextqa_02706,videos/nextqa/7324192392.mp4,nextqa,"how did the lady splash water on the dog
A. in left arm supporting baby s head
B. hold up cup
C. patting the dog
D. use bowl
E. using a bucket
Answer with the option's letter from the given choices directly.","['in left arm supporting baby s head', 'hold up cup', 'patting the dog', 'use bowl', 'using a bucket']",D,2.691497681517069,,,,,,
A,A,0027,nextqa_02044,videos/nextqa/7916860778.mp4,nextqa,"what does the white hair man do after picking the girl up
A. bring girl closer to the tree
B. follow her instructions to sit
C. close the door
D. walked away
E. blow candle
Answer with the option's letter from the given choices directly.","['bring girl closer to the tree', 'follow her instructions to sit', 'close the door', 'walked away', 'blow candle']",A,2.6336503981003987,,,,,,
A,B,0028,nextqa_01399,videos/nextqa/7000450111.mp4,nextqa,"what does the man do after attempting to put the microphone in front of the boy at the end
A. hold s the rod
B. stand up
C. look down
D. lie down
E. dance
Answer with the option's letter from the given choices directly.","['hold s the rod', 'stand up', 'look down', 'lie down', 'dance']",B,2.5794804514198297,,,,,,
C,A,0029,nextqa_00685,videos/nextqa/3747923836.mp4,nextqa,"why did the shirtless boy bend forward
A. get the bike off water
B. wants to sit down
C. to jump into water
D. cycling
E. bowing
Answer with the option's letter from the given choices directly.","['get the bike off water', 'wants to sit down', 'to jump into water', 'cycling', 'bowing']",A,2.530138265279096,,,,,,
A,D,0030,nextqa_04882,videos/nextqa/3889087646.mp4,nextqa,"what did the man do after he blew the candles
A. look at cake
B. clap
C. run away
D. shake his fist
E. return to his seats
Answer with the option's letter from the given choices directly.","['look at cake', 'clap', 'run away', 'shake his fist', 'return to his seats']",D,2.509137594515984,,,,,,
C,C,0031,nextqa_05596,videos/nextqa/3366288183.mp4,nextqa,"what did the brown dog do after the black dog started to jump at the man at the middle
A. bite black dog
B. leave the kitchen
C. look at them
D. ignored white dog
E. start running faster
Answer with the option's letter from the given choices directly.","['bite black dog', 'leave the kitchen', 'look at them', 'ignored white dog', 'start running faster']",C,2.4887194699463606,,,,,,
B,C,0032,nextqa_05077,videos/nextqa/4561357748.mp4,nextqa,"what does the man do after coming off the table
A. put down his cup
B. stomp his feet
C. open a box
D. dance
E. put on gloves
Answer with the option's letter from the given choices directly.","['put down his cup', 'stomp his feet', 'open a box', 'dance', 'put on gloves']",C,2.3949566569786684,,,,,,
B,B,0033,nextqa_07358,videos/nextqa/3889087646.mp4,nextqa,"what did the man do after he took out the candles from the cake
A. start dancing
B. turn behind
C. wave smoke away
D. look happy
E. sit down
Answer with the option's letter from the given choices directly.","['start dancing', 'turn behind', 'wave smoke away', 'look happy', 'sit down']",B,2.343747592225284,,,,,,
A,B,0034,nextqa_01151,videos/nextqa/9528960175.mp4,nextqa,"what did the child do after the person passed the sippy cup to him at the end of the video
A. closes it
B. lean backwards
C. walk around
D. turns the baby over
E. pose with his hands
Answer with the option's letter from the given choices directly.","['closes it', 'lean backwards', 'walk around', 'turns the baby over', 'pose with his hands']",B,2.291194794210556,,,,,,
E,E,0035,nextqa_05551,videos/nextqa/2814476910.mp4,nextqa,"where is this video taken
A. kitchen
B. backyard
C. supermarket
D. bedroom
E. playground
Answer with the option's letter from the given choices directly.","['kitchen', 'backyard', 'supermarket', 'bedroom', 'playground']",E,2.2768571425756163,,,,,,
C,E,0036,nextqa_03764,videos/nextqa/4152556613.mp4,nextqa,"why does the white dog stop bitting the grey toy and turn back to the black dog
A. have a rest
B. bark at black dog
C. lick black dog s paw
D. bite its tail
E. to snatch slipper
Answer with the option's letter from the given choices directly.","['have a rest', 'bark at black dog', 'lick black dog s paw', 'bite its tail', 'to snatch slipper']",E,2.1923353935173173,,,,,,
E,C,0037,nextqa_02213,videos/nextqa/4265336268.mp4,nextqa,"why did the man in blue turn to his left briefly
A. pick up something
B. take more cones
C. look at camera
D. someone called him
E. look at the man in white
Answer with the option's letter from the given choices directly.","['pick up something', 'take more cones', 'look at camera', 'someone called him', 'look at the man in white']",C,2.187102913152502,,,,,,
E,D,0038,nextqa_05440,videos/nextqa/4286880949.mp4,nextqa,"what did the girl in stripes do after blowing out the candles
A. kneel down to take photo
B. sit down on armchair
C. look at boy
D. take out candles
E. clap hands
Answer with the option's letter from the given choices directly.","['kneel down to take photo', 'sit down on armchair', 'look at boy', 'take out candles', 'clap hands']",D,2.1393108796759783,,,,,,
E,E,0039,nextqa_08073,videos/nextqa/9023339404.mp4,nextqa,"what does the lady in yellow do after putting down her camera
A. put outerwear down
B. adjust her cap
C. walk forward
D. takes it from girl in green
E. hold the chair
Answer with the option's letter from the given choices directly.","['put outerwear down', 'adjust her cap', 'walk forward', 'takes it from girl in green', 'hold the chair']",E,2.136913522965764,,,,,,
E,A,0040,nextqa_07312,videos/nextqa/4484729539.mp4,nextqa,"what does the baby do when he reaches near the bed
A. takes support
B. lying on his stomach
C. clasp his hands together
D. sleeping
E. play with book
Answer with the option's letter from the given choices directly.","['takes support', 'lying on his stomach', 'clasp his hands together', 'sleeping', 'play with book']",A,2.128973008185225,,,,,,
A,A,0041,nextqa_08332,videos/nextqa/5477272417.mp4,nextqa,"why does the woman adjust her position in the middle of the video
A. to better plant the sapling
B. to prevent falling from edge
C. wanted to remove something
D. change her shoes
E. someone was blocking her way
Answer with the option's letter from the given choices directly.","['to better plant the sapling', 'to prevent falling from edge', 'wanted to remove something', 'change her shoes', 'someone was blocking her way']",A,2.098205450138167,,,,,,
C,C,0042,nextqa_01716,videos/nextqa/7149839527.mp4,nextqa,"how did the boy in blue try to comfort the baby towards the end
A. pinch baby
B. kiss to the baby
C. pat baby
D. blow kisses
E. make funny faces
Answer with the option's letter from the given choices directly.","['pinch baby', 'kiss to the baby', 'pat baby', 'blow kisses', 'make funny faces']",C,2.0960719968438726,,,,,,
B,A,0043,nextqa_05899,videos/nextqa/6851952624.mp4,nextqa,"how is the atmosphere changed in the middle
A. stage became darker
B. lights switched on
C. light on the speaker
D. became brighter
E. curtains closed
Answer with the option's letter from the given choices directly.","['stage became darker', 'lights switched on', 'light on the speaker', 'became brighter', 'curtains closed']",A,2.0858621418064267,,,,,,
E,D,0044,nextqa_05384,videos/nextqa/11019529085.mp4,nextqa,"what did the talller guy do after the shorter guy finished the backflip
A. talk to bespectacled man
B. watch the men jump
C. walks to the centre
D. dance
E. help boy get down
Answer with the option's letter from the given choices directly.","['talk to bespectacled man', 'watch the men jump', 'walks to the centre', 'dance', 'help boy get down']",D,2.0845206727815784,,,,,,
E,E,0045,nextqa_01508,videos/nextqa/2562087639.mp4,nextqa,"how did the man interact with the lady at the end
A. hug her
B. smiling and shaking her hands
C. gave her a rope
D. walking together
E. twirl her
Answer with the option's letter from the given choices directly.","['hug her', 'smiling and shaking her hands', 'gave her a rope', 'walking together', 'twirl her']",E,2.0792692583966454,,,,,,
C,E,0046,nextqa_02732,videos/nextqa/4421898163.mp4,nextqa,"what is the colur of the wallpaper of the room the baby entered at the end
A. siblings
B. flags
C. pink and white
D. red
E. green
Answer with the option's letter from the given choices directly.","['siblings', 'flags', 'pink and white', 'red', 'green']",E,2.069904378179436,,,,,,
E,A,0047,nextqa_05481,videos/nextqa/4097448142.mp4,nextqa,"what happens after the door opens at the end
A. baby came out
B. standing in a line
C. fall down
D. bends down
E. walks in
Answer with the option's letter from the given choices directly.","['baby came out', 'standing in a line', 'fall down', 'bends down', 'walks in']",A,2.0609279882395537,,,,,,
A,C,0048,nextqa_01491,videos/nextqa/2574374895.mp4,nextqa,"what did the baby do after lying on the floor
A. play with toy
B. sitting with hands down
C. put arms behind head
D. turn around
E. see if milk spill
Answer with the option's letter from the given choices directly.","['play with toy', 'sitting with hands down', 'put arms behind head', 'turn around', 'see if milk spill']",C,2.0470358904221087,,,,,,
B,E,0049,nextqa_04178,videos/nextqa/10278239024.mp4,nextqa,"what does the boy in green do when he got off the sofa
A. follow the boy in green
B. fall over
C. look at man in green
D. skipped backwards with one leg
E. walk away
Answer with the option's letter from the given choices directly.","['follow the boy in green', 'fall over', 'look at man in green', 'skipped backwards with one leg', 'walk away']",E,2.0254164947153432,,,,,,
A,B,0050,nextqa_05975,videos/nextqa/3439955661.mp4,nextqa,"what did the baby in blue do halfway through spinning around in circles
A. sit down
B. look out of the window
C. crawl on the ground
D. cry
E. put toy in cylinder
Answer with the option's letter from the given choices directly.","['sit down', 'look out of the window', 'crawl on the ground', 'cry', 'put toy in cylinder']",B,2.0253034099848795,,,,,,
B,D,0051,nextqa_06759,videos/nextqa/3525178080.mp4,nextqa,"what did the people do after they stopped for a while in the middle of the video
A. say something
B. adjust tricycle
C. rides again
D. put it down
E. hug the cameraman
Answer with the option's letter from the given choices directly.","['say something', 'adjust tricycle', 'rides again', 'put it down', 'hug the cameraman']",D,2.0242632418599813,,,,,,
E,A,0052,nextqa_03475,videos/nextqa/7303386938.mp4,nextqa,"what did the baby do when it stood in front of the door at the end
A. touch bottle tip
B. play with sand while sitting
C. stretch hand out
D. touched the sofa
E. play with his toy
Answer with the option's letter from the given choices directly.","['touch bottle tip', 'play with sand while sitting', 'stretch hand out', 'touched the sofa', 'play with his toy']",A,2.020119576536442,,,,,,
D,C,0053,nextqa_04785,videos/nextqa/4273509832.mp4,nextqa,"why does parrot lift one leg
A. grab man s finger
B. grab stick
C. grab peas
D. ready to sleep
E. grab brocolli
Answer with the option's letter from the given choices directly.","['grab man s finger', 'grab stick', 'grab peas', 'ready to sleep', 'grab brocolli']",C,1.9404197765078564,,,,,,
C,D,0054,nextqa_01050,videos/nextqa/6029706386.mp4,nextqa,"why did the man put his hands together after he put the ball down at the end of the video
A. swimming in ocean
B. dance move
C. help girl find something
D. wipe hands
E. signal that he is tired
Answer with the option's letter from the given choices directly.","['swimming in ocean', 'dance move', 'help girl find something', 'wipe hands', 'signal that he is tired']",D,1.9021193613487501,,,,,,
B,B,0055,nextqa_04277,videos/nextqa/7610762882.mp4,nextqa,"what did the man in red do right before he started running
A. looks behind
B. point forward
C. high five the man in white
D. dance
E. eats sandwich
Answer with the option's letter from the given choices directly.","['looks behind', 'point forward', 'high five the man in white', 'dance', 'eats sandwich']",B,1.8176588908816933,,,,,,
A,B,0056,nextqa_07356,videos/nextqa/5410541521.mp4,nextqa,"what does the skier do after the jumps at the end
A. hit poles
B. stretch out arms
C. bending down
D. run backwards
E. start dancing
Answer with the option's letter from the given choices directly.","['hit poles', 'stretch out arms', 'bending down', 'run backwards', 'start dancing']",B,1.8096163688722469,,,,,,
A,D,0057,nextqa_07660,videos/nextqa/8064396272.mp4,nextqa,"why does the brown dog show its belly at the end of the video
A. for owner to pet
B. resting
C. fainted
D. be sniffed
E. to drink water
Answer with the option's letter from the given choices directly.","['for owner to pet', 'resting', 'fainted', 'be sniffed', 'to drink water']",D,1.808239552927016,,,,,,
B,D,0058,nextqa_01700,videos/nextqa/4784858772.mp4,nextqa,"what does the shirtless man do after the woman with white headscarf raises her hand at the start
A. turn back and smile
B. put on shirt
C. takes a photo
D. walk to her
E. face the audience
Answer with the option's letter from the given choices directly.","['turn back and smile', 'put on shirt', 'takes a photo', 'walk to her', 'face the audience']",D,1.7997730935054412,,,,,,
E,B,0059,nextqa_08316,videos/nextqa/4484729539.mp4,nextqa,"what happens when baby reaches near the sofa
A. the toy jumps
B. falls down
C. touched the sofa
D. restless
E. play with book
Answer with the option's letter from the given choices directly.","['the toy jumps', 'falls down', 'touched the sofa', 'restless', 'play with book']",B,1.6770948419493272,,,,,,
D,B,0060,nextqa_06044,videos/nextqa/9297698436.mp4,nextqa,"what does the baby do after smiling for a while at the end
A. walk away
B. lay still
C. play guitar and sing
D. move his head around
E. lies on his side
Answer with the option's letter from the given choices directly.","['walk away', 'lay still', 'play guitar and sing', 'move his head around', 'lies on his side']",B,1.6742652398924684,,,,,,
C,B,0061,nextqa_04323,videos/nextqa/4976487220.mp4,nextqa,"how does the blonde woman know what to say
A. follow video
B. from book
C. see from television
D. earpiece
E. from phone
Answer with the option's letter from the given choices directly.","['follow video', 'from book', 'see from television', 'earpiece', 'from phone']",B,1.6656677263209616,,,,,,
E,E,0062,nextqa_03314,videos/nextqa/6620044377.mp4,nextqa,"how did the man play with the baby at the end
A. carry baby on shoulders
B. touch the baby s head
C. touch baby s nose
D. jump and talk to baby
E. hold the baby in his hands
Answer with the option's letter from the given choices directly.","['carry baby on shoulders', 'touch the baby s head', 'touch baby s nose', 'jump and talk to baby', 'hold the baby in his hands']",E,1.6652648623263802,,,,,,
A,C,0063,nextqa_03642,videos/nextqa/4084841090.mp4,nextqa,"what does the dog do when it is being dipped into the pool
A. dry himself
B. walk into pond
C. paddle
D. swimming
E. spray out horizontally
Answer with the option's letter from the given choices directly.","['dry himself', 'walk into pond', 'paddle', 'swimming', 'spray out horizontally']",C,1.645735096335532,,,,,,
E,E,0064,nextqa_06755,videos/nextqa/3751613141.mp4,nextqa,"what does the man in black slippers do at the end of the video
A. threw ball
B. move the dog to the right
C. pick a ball up
D. gave dog a toy bone
E. stop dog
Answer with the option's letter from the given choices directly.","['threw ball', 'move the dog to the right', 'pick a ball up', 'gave dog a toy bone', 'stop dog']",E,1.6357304735809093,,,,,,
E,E,0065,nextqa_07783,videos/nextqa/2667165452.mp4,nextqa,"why is the girl look forward at the beginning
A. pose for camera
B. watch man dancing
C. look for the boy
D. wash hands
E. enjoy the scenary
Answer with the option's letter from the given choices directly.","['pose for camera', 'watch man dancing', 'look for the boy', 'wash hands', 'enjoy the scenary']",E,1.63345242052551,,,,,,
E,A,0066,nextqa_04756,videos/nextqa/3524009829.mp4,nextqa,"what do the people do after hugging one another at the beginning
A. walk away
B. take out a doll
C. moves his head
D. moves it further
E. hold hand and talk
Answer with the option's letter from the given choices directly.","['walk away', 'take out a doll', 'moves his head', 'moves it further', 'hold hand and talk']",A,1.6246983903679493,,,,,,
E,A,0067,nextqa_01742,videos/nextqa/6306690515.mp4,nextqa,"how does the person get the cat s attention after it approaches him
A. with a cloth bag
B. carries and strokes it
C. show the cat something
D. gently caress
E. flick toy band
Answer with the option's letter from the given choices directly.","['with a cloth bag', 'carries and strokes it', 'show the cat something', 'gently caress', 'flick toy band']",A,1.6234910574115435,,,,,,
A,A,0068,nextqa_02456,videos/nextqa/8109777832.mp4,nextqa,"what does the woman in pink do after kneeling down dancing with the girl
A. moves her hand
B. reach for the pole
C. went into a room and closed the door
D. dance
E. laugh and run forward
Answer with the option's letter from the given choices directly.","['moves her hand', 'reach for the pole', 'went into a room and closed the door', 'dance', 'laugh and run forward']",A,1.6141305800919483,,,,,,
A,B,0069,nextqa_04387,videos/nextqa/5563357894.mp4,nextqa,"why did the man bend down in the middle of the video
A. pick up grey box
B. open bag
C. pick up the fish
D. find seashell
E. to touch the sandals
Answer with the option's letter from the given choices directly.","['pick up grey box', 'open bag', 'pick up the fish', 'find seashell', 'to touch the sandals']",B,1.603930671423845,,,,,,
D,E,0070,nextqa_00497,videos/nextqa/3546634491.mp4,nextqa,"what does the lady in black do after putting down the cup in the middle
A. touch baby
B. walk to receive it
C. look at her
D. speaking and hand gesture
E. wipe her mouth
Answer with the option's letter from the given choices directly.","['touch baby', 'walk to receive it', 'look at her', 'speaking and hand gesture', 'wipe her mouth']",E,1.5918220535403682,,,,,,
A,A,0071,nextqa_07450,videos/nextqa/2500623285.mp4,nextqa,"how did the man prevent himself from getting wet when he saw the waves coming
A. stand up
B. wear life vest
C. paddle with hands and legs
D. wear helmet and life jacket
E. it s sunny
Answer with the option's letter from the given choices directly.","['stand up', 'wear life vest', 'paddle with hands and legs', 'wear helmet and life jacket', 'it s sunny']",A,1.5738007708458386,,,,,,
D,D,0072,nextqa_04046,videos/nextqa/4417481754.mp4,nextqa,"what does the man filming himself do after lifting his glass
A. use computer
B. walk nearer to the glass
C. sit at the chair at the side
D. swirl the girl
E. smile to himself
Answer with the option's letter from the given choices directly.","['use computer', 'walk nearer to the glass', 'sit at the chair at the side', 'swirl the girl', 'smile to himself']",D,1.567622162308609,,,,,,
A,A,0073,nextqa_03162,videos/nextqa/3089060111.mp4,nextqa,"what does the baby do after putting the toy over the air vent
A. put it back in mouth
B. play with them
C. touch cake
D. look at me
E. plays with another toy
Answer with the option's letter from the given choices directly.","['put it back in mouth', 'play with them', 'touch cake', 'look at me', 'plays with another toy']",A,1.5451116623247876,,,,,,
B,B,0074,nextqa_04496,videos/nextqa/8575896129.mp4,nextqa,"why does the lady carry the child in this manner at the beginning
A. prevent him from falling
B. see face for photo
C. supporting the baby
D. safety
E. singing for baby
Answer with the option's letter from the given choices directly.","['prevent him from falling', 'see face for photo', 'supporting the baby', 'safety', 'singing for baby']",B,1.5268347324025158,,,,,,
D,C,0075,nextqa_06663,videos/nextqa/4514152517.mp4,nextqa,"what does the man do after stabilize the paper
A. shorten the rope
B. start performing
C. move machine
D. puts the paper down
E. walk forward
Answer with the option's letter from the given choices directly.","['shorten the rope', 'start performing', 'move machine', 'puts the paper down', 'walk forward']",C,1.4935205003599892,,,,,,
D,B,0076,nextqa_03632,videos/nextqa/6936757706.mp4,nextqa,"why did the girl bend forward a little near the end of the video
A. whisper to the boy
B. sneeze
C. point at something
D. to eat
E. to get ready to dance
Answer with the option's letter from the given choices directly.","['whisper to the boy', 'sneeze', 'point at something', 'to eat', 'to get ready to dance']",B,1.484817149317881,,,,,,
C,E,0077,nextqa_00086,videos/nextqa/3305288577.mp4,nextqa,"what did the girl do at the end of the video after holding her cheeks for a while
A. pick up something
B. pose
C. turn to baby and play
D. run to camera
E. crawl away
Answer with the option's letter from the given choices directly.","['pick up something', 'pose', 'turn to baby and play', 'run to camera', 'crawl away']",E,1.4717581367656378,,,,,,
E,C,0078,nextqa_05758,videos/nextqa/2400084970.mp4,nextqa,"what did the two ladies do after they reach the end of the slope
A. get up
B. leave the stage
C. run backwards
D. touch the dog
E. walk towards women at ledge
Answer with the option's letter from the given choices directly.","['get up', 'leave the stage', 'run backwards', 'touch the dog', 'walk towards women at ledge']",C,1.4714304371491445,,,,,,
E,A,0079,nextqa_04112,videos/nextqa/5514739631.mp4,nextqa,"why was the baby in white sitting on the floor in the middle of the video
A. imbalanced
B. attracted towards the chair
C. play with dog
D. rest
E. to take photo
Answer with the option's letter from the given choices directly.","['imbalanced', 'attracted towards the chair', 'play with dog', 'rest', 'to take photo']",A,1.4683186565137458,,,,,,
D,C,0080,nextqa_07372,videos/nextqa/4784858772.mp4,nextqa,"why did the shirtless man bend down when the woman stands up
A. sit down
B. dancing
C. carry her
D. to take a picture of her
E. to pick up ball
Answer with the option's letter from the given choices directly.","['sit down', 'dancing', 'carry her', 'to take a picture of her', 'to pick up ball']",C,1.4592470003348559,,,,,,
D,A,0081,nextqa_06914,videos/nextqa/2733959191.mp4,nextqa,"why are flashes seen here and there throughout the whole video
A. photo taking
B. entertain baby
C. fill the tub
D. stage light
E. bar atmosphere
Answer with the option's letter from the given choices directly.","['photo taking', 'entertain baby', 'fill the tub', 'stage light', 'bar atmosphere']",A,1.4492003156826008,,,,,,
